rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10,rmp11,rmp12,rmp13,rmp14,rmp15,rmp16,rmp17,rmp18,rmp19,rmp20,rmp21,rmp22,rmp23,rmp24,rmp25,rmp26,rmp27,rmp28,rmp29,rmp30,rmp31,rmp32,rmp33,rmp34,rmp35,rmp36,rmp37,rmp38,rmp39,rmp40
0.000245103,0.000245041,0.000245868,0.000246035,0.000246101,0.000246091,0.000245883,0.000245746,0.000246586,0.000245941,0.000246536,0.00024649,0.000246365,0.000246531,0.000246033,0.000246334,0.000246417,0.000246079,0.000246567,0.000246145,0.000246511,0.000246528,0.000247071,0.000247162,0.000246833,0.00024718,0.000247596,0.000247691,0.000247259,0.00024716,0.000247368,0.000248032,0.000247948,0.000247639,0.000248164,0.00024837,0.000248144,0.000247776,0.0002476,0.000248406
0.00024481,0.000244907,0.000245585,0.000245732,0.000246013,0.000245809,0.00024577,0.000245566,0.000246417,0.000245699,0.000246512,0.00024622,0.000246209,0.000246356,0.000245738,0.000246076,0.00024618,0.000245832,0.000246335,0.000245905,0.000246385,0.000246249,0.000246775,0.000246937,0.000246581,0.000247056,0.000247394,0.000247303,0.000247039,0.000246924,0.00024713,0.0002478,0.000247738,0.000247388,0.000247968,0.000248169,0.000247823,0.000247559,0.000247437,0.000248198
0.000244495,0.000244521,0.000245199,0.000245477,0.000245738,0.000245553,0.000245448,0.000245218,0.000246153,0.000245403,0.00024621,0.00024597,0.000245783,0.00024607,0.000245453,0.000245756,0.000245866,0.00024555,0.000246026,0.00024557,0.000246119,0.000245994,0.000246457,0.000246713,0.000246359,0.000246724,0.000247147,0.000246994,0.000246783,0.000246641,0.000246857,0.00024756,0.000247208,0.000247061,0.000247716,0.000247799,0.000247582,0.000247259,0.000247056,0.000247877
0.000244127,0.000244331,0.000244991,0.000245261,0.000245311,0.000245249,0.000245014,0.000244778,0.00024585,0.000245064,0.000245773,0.000245596,0.000245474,0.00024575,0.00024508,0.00024536,0.000245503,0.000245277,0.000245742,0.00024531,0.000245716,0.000245674,0.000246233,0.000246387,0.000246068,0.000246295,0.000246716,0.000246605,0.000246447,0.000246312,0.000246386,0.000247247,0.000247023,0.000246816,0.000247299,0.000247495,0.000247249,0.000246895,0.00024673,0.000247574
0.000243785,0.000243835,0.000244671,0.000244857,0.000245004,0.000244895,0.000244686,0.000244405,0.000245395,0.000244798,0.000245536,0.000245211,0.000245098,0.00024532,0.000244764,0.000245009,0.000245206,0.000244916,0.000245356,0.000244912,0.000245429,0.00024529,0.000245834,0.000246056,0.000245745,0.000245972,0.000246433,0.000246255,0.000246055,0.000245899,0.000246049,0.000246861,0.000246687,0.000246449,0.000246892,0.000247147,0.000246884,0.00024657,0.000246423,0.000247093
0.000243348,0.000243432,0.000244321,0.000244415,0.000244568,0.000244458,0.000244375,0.000243974,0.000245025,0.000244335,0.00024503,0.000244827,0.000244775,0.000244937,0.000244439,0.000244679,0.000244771,0.000244612,0.000244948,0.000244496,0.00024506,0.00024487,0.000245526,0.000245687,0.000245299,0.000245609,0.000246069,0.000245822,0.000245725,0.00024554,0.000245616,0.000246444,0.000246407,0.000246136,0.00024652,0.00024666,0.000246506,0.000246217,0.000246086,0.000246811
0.000243009,0.000242947,0.000243892,0.000244006,0.000244075,0.000244045,0.00024391,0.000243605,0.000244695,0.00024387,0.000244611,0.000244322,0.0002444,0.00024455,0.000243954,0.000244233,0.000244497,0.000244154,0.000244476,0.000244055,0.000244595,0.000244385,0.000245003,0.000245279,0.000244879,0.000245202,0.000245592,0.000245432,0.000245191,0.000245217,0.000245301,0.000245954,0.000245799,0.000245737,0.000246004,0.000246215,0.000246096,0.000245805,0.000245655,0.000246406
0.000242404,0.000242563,0.000243378,0.000243613,0.000243709,0.000243652,0.000243481,0.000243142,0.000244274,0.000243403,0.000244106,0.000243951,0.000243948,0.000244063,0.000243502,0.000243818,0.000244044,0.000243708,0.000244021,0.000243679,0.000244169,0.000244036,0.000244545,0.000244837,0.000244507,0.000244706,0.000245125,0.000245044,0.000244814,0.000244743,0.000244788,0.000245543,0.000245288,0.000245294,0.000245613,0.000245815,0.000245718,0.000245296,0.000245208,0.000245987
0.000242036,0.000242139,0.000242943,0.000242989,0.000243198,0.000243104,0.000242988,0.000242658,0.000243698,0.000242891,0.000243649,0.000243406,0.000243467,0.000243595,0.00024307,0.000243326,0.000243535,0.000243167,0.000243546,0.00024322,0.0002437,0.000243589,0.000244096,0.00024432,0.000244086,0.000244281,0.000244691,0.000244638,0.000244435,0.000244267,0.000244355,0.000245094,0.00024488,0.000244805,0.000245194,0.000245253,0.000245207,0.000244941,0.000244716,0.000245559
0.000241478,0.000241561,0.000242408,0.000242553,0.000242712,0.00024277,0.000242523,0.000242226,0.000243269,0.00024252,0.000243156,0.000242846,0.000243001,0.00024314,0.000242643,0.000242957,0.00024304,0.00024271,0.000242994,0.000242733,0.000243234,0.000243089,0.00024347,0.000243864,0.000243613,0.000243856,0.000244218,0.000244175,0.000243906,0.000243747,0.000243704,0.000244609,0.000244365,0.000244378,0.000244739,0.000244797,0.000244705,0.000244429,0.000244171,0.00024504
