rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10,rmp11,rmp12,rmp13,rmp14,rmp15,rmp16,rmp17,rmp18,rmp19,rmp20,rmp21,rmp22,rmp23,rmp24,rmp25,rmp26,rmp27,rmp28,rmp29,rmp30,rmp31,rmp32,rmp33,rmp34,rmp35,rmp36,rmp37,rmp38,rmp39
0.000160588,0.00016111,0.000161719,0.000161975,0.000162316,0.000162452,0.000162431,0.000162976,0.000162666,0.000162665,0.000163292,0.00016318,0.000163151,0.000163688,0.000163533,0.000163685,0.000163512,0.000163848,0.000163611,0.000163867,0.000163535,0.00016417,0.00016406,0.000164241,0.000164214,0.000164214,0.000164557,0.000164567,0.000164363,0.000164711,0.000164654,0.000164727,0.000164805,0.000165201,0.00016507,0.000165357,0.000165006,0.000165207,0.00016521
0.000160633,0.000160986,0.000161703,0.000162029,0.000162325,0.000162519,0.000162485,0.000162979,0.000162713,0.000162671,0.000163365,0.000163236,0.000163256,0.000163595,0.000163551,0.000163743,0.00016358,0.000163883,0.000163647,0.000163937,0.000163688,0.000164188,0.000164102,0.000164182,0.00016429,0.000164225,0.000164578,0.000164707,0.000164568,0.000164897,0.000164683,0.000164838,0.000164969,0.000165289,0.000165088,0.000165397,0.00016494,0.000165293,0.000165287
0.000160694,0.000161216,0.000161867,0.000162129,0.000162445,0.000162631,0.000162569,0.000163086,0.000162768,0.000162786,0.000163525,0.000163304,0.000163338,0.000163758,0.000163635,0.000163839,0.000163597,0.000163967,0.000163856,0.000163985,0.000163769,0.00016426,0.000164226,0.000164393,0.000164397,0.000164364,0.000164754,0.00016474,0.00016469,0.000164957,0.000164874,0.000164888,0.000165013,0.00016537,0.000165122,0.000165425,0.00016501,0.000165366,0.000165265
0.000160767,0.00016132,0.00016196,0.000162291,0.000162547,0.000162768,0.000162701,0.00016322,0.000162935,0.000162941,0.000163608,0.000163155,0.00016344,0.000163888,0.000163699,0.000163969,0.000163809,0.000163991,0.000163861,0.000164016,0.000163929,0.000164409,0.000164311,0.000164524,0.000164541,0.000164508,0.000164882,0.000164855,0.000164683,0.000165002,0.000164947,0.000165019,0.000165073,0.0001655,0.000165284,0.000165542,0.000165326,0.000165564,0.000165465
0.000160879,0.000161471,0.000162087,0.000162401,0.000162642,0.000162928,0.000162823,0.000163454,0.000162996,0.000163143,0.000163662,0.000163419,0.000163582,0.000163974,0.000163829,0.000164123,0.00016392,0.000164123,0.000163994,0.000164226,0.000163956,0.000164538,0.000164489,0.000164608,0.000164627,0.000164638,0.000164995,0.000164968,0.000164793,0.000165128,0.00016501,0.000165122,0.000165218,0.000165662,0.00016545,0.000165697,0.000165302,0.000165707,0.000165468
0.000161128,0.000161544,0.000162262,0.000162497,0.000162797,0.000163041,0.00016299,0.000163445,0.000163142,0.000163176,0.000163922,0.000163433,0.000163721,0.000164158,0.000163975,0.000164321,0.000164097,0.000164348,0.000164148,0.000164375,0.0001641,0.000164663,0.000164635,0.00016474,0.000164877,0.00016481,0.000165188,0.000165118,0.000164928,0.000165281,0.000165183,0.000165301,0.000165311,0.000165731,0.000165619,0.00016584,0.000165352,0.00016587,0.000165611
0.000161168,0.000161763,0.000162335,0.000162547,0.000163001,0.000163265,0.000163169,0.000163616,0.000163361,0.000163354,0.000164099,0.000163619,0.000163881,0.000164269,0.000164159,0.00016448,0.000164253,0.00016452,0.000164331,0.00016455,0.000164312,0.000164822,0.000164765,0.000164906,0.000164964,0.000164958,0.00016538,0.000165271,0.000165136,0.000165406,0.000165356,0.000165397,0.000165446,0.000165903,0.00016568,0.000165942,0.000165579,0.000165994,0.000165698
0.000161345,0.000161953,0.000162515,0.00016278,0.000163168,0.000163379,0.000163264,0.000163776,0.000163535,0.000163426,0.00016428,0.000163772,0.000164076,0.000164482,0.000164289,0.000164636,0.000164425,0.00016473,0.000164506,0.000164817,0.000164505,0.000165021,0.00016495,0.000165058,0.000165217,0.000165155,0.000165525,0.000165487,0.000165398,0.000165647,0.000165491,0.000165592,0.000165531,0.000166127,0.000165882,0.000166117,0.00016578,0.000166233,0.000165896
0.000161647,0.000162065,0.000162683,0.00016303,0.0001634,0.000163518,0.00016348,0.000164004,0.000163781,0.000163675,0.000164396,0.00016402,0.000164255,0.000164673,0.000164423,0.000164849,0.000164632,0.000164886,0.00016473,0.000165018,0.000164737,0.000165158,0.000165118,0.000165244,0.000165296,0.000165309,0.000165725,0.00016564,0.00016547,0.000165782,0.000165645,0.000165777,0.000165788,0.000166333,0.000166069,0.000166355,0.000166012,0.000166297,0.000166111
0.000161889,0.000162336,0.000162871,0.000163201,0.000163583,0.000163642,0.000163649,0.000164046,0.000163906,0.000163906,0.000164538,0.000164158,0.000164471,0.000164862,0.000164627,0.000164973,0.000164811,0.000165058,0.000164941,0.000165241,0.000164813,0.000165371,0.000165268,0.000165443,0.000165546,0.000165428,0.000165865,0.000165837,0.000165714,0.000165992,0.0001658,0.000165954,0.000166002,0.000166546,0.000166186,0.000166515,0.000166121,0.000166497,0.000166241
0.000162003,0.000162548,0.00016301,0.000163358,0.00016373,0.000163828,0.000163828,0.000164251,0.000164094,0.000164115,0.00016472,0.000164318,0.000164658,0.000165077,0.000164831,0.000165113,0.000164964,0.000165253,0.000165168,0.000165344,0.000165019,0.00016557,0.000165533,0.000165619,0.000165767,0.000165654,0.000165925,0.000166017,0.00016587,0.000166134,0.000166006,0.000166141,0.000166265,0.000166619,0.000166399,0.00016672,0.000166374,0.000166724,0.000166384
